transaction_id,timestamp,card_id,amount,merchant_name,merchant_category,channel,cardholder_country,merchant_country,device_id,ip_address,fraud_score,risk_level,flag_reasons,card_velocity_score,card_velocity_reason,merchant_burst_score,merchant_burst_reason,shared_device_ip_score,shared_device_ip_reason,is_flagged
tx_000784,2026-04-25 00:27:09,card_042,18.38,Amazon.ca,online_retail,online,US,CA,dev_33892b01,172.58.159.61,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000081,2026-04-25 00:32:37,card_004,160.55,Schwartz's,restaurant,in_person,CA,CA,,,20,low,Amount is 6.8x this card's median,0,,0,,0,,False
tx_000389,2026-04-25 01:39:26,card_020,57.12,Chipotle,restaurant,in_person,US,US,,,0,low,,0,,0,,0,,False
tx_000779,2026-04-25 02:38:38,card_041,15.86,Videotron,utilities,online,CA,CA,dev_614ef198,142.112.31.70,0,low,,0,,0,,0,,False
tx_000256,2026-04-25 04:26:31,card_013,52.73,Shopify Merchant 2,online_retail,online,CA,CA,dev_e5c2222f,24.114.1.85,0,low,,0,,0,,0,,False
tx_000041,2026-04-25 05:09:52,card_002,57.27,McDonald's,restaurant,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000649,2026-04-25 06:16:56,card_035,15.99,Disney+,subscription,online,CA,US,dev_37f4b88c,24.114.240.71,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000063,2026-04-25 06:51:00,card_003,48.14,Provigo,grocery,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000544,2026-04-25 08:19:31,card_029,9.06,Hydro-Quebec,utilities,online,CA,CA,dev_72eedf3c,24.114.198.77,0,low,,0,,0,,0,,False
tx_000551,2026-04-25 08:25:39,card_029,58.77,Tim Hortons,restaurant,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000782,2026-04-25 09:03:20,card_042,9.66,Chipotle,restaurant,in_person,US,US,,,0,low,,0,,0,,0,,False
tx_000206,2026-04-25 09:09:03,card_011,4.85,Chipotle,restaurant,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000521,2026-04-25 09:18:09,card_028,51.13,eBay,online_retail,online,CA,US,dev_bea30580,99.225.214.42,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000690,2026-04-25 11:27:41,card_037,41.39,IGA,grocery,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000853,2026-04-25 11:57:46,card_045,42.68,eBay,online_retail,online,FR,US,dev_ba413b67,82.66.10.13,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000396,2026-04-25 12:33:42,card_021,94.87,Tim Hortons,restaurant,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000442,2026-04-25 12:43:20,card_023,28.79,Whole Foods,grocery,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000897,2026-04-25 13:55:46,card_048,9.57,McDonald's,restaurant,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000018,2026-04-25 14:13:47,card_000,51.5,Hydro-Quebec,utilities,online,CA,CA,dev_bc0178b6,99.225.129.227,0,low,,0,,0,,0,,False
tx_000394,2026-04-25 15:06:17,card_021,19.32,Etsy,online_retail,online,CA,US,dev_f61b4d97,24.114.210.28,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000027,2026-04-25 15:51:42,card_001,69.73,Etsy,online_retail,online,CA,US,dev_8080a2c9,24.114.208.216,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000702,2026-04-25 17:37:25,card_037,16.88,Tim Hortons,restaurant,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000873,2026-04-25 17:43:45,card_047,37.03,Hydro-Quebec,utilities,online,CA,CA,dev_dcad83da,24.114.120.126,0,low,,0,,0,,0,,False
tx_000608,2026-04-25 18:35:18,card_033,92.02,Provigo,grocery,in_person,GB,GB,,,0,low,,0,,0,,0,,False
tx_000226,2026-04-25 19:32:23,card_012,27.35,Whole Foods,grocery,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000391,2026-04-25 19:35:05,card_021,135.46,Loblaws,grocery,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000914,2026-04-25 19:49:18,card_049,41.79,Amazon.ca,online_retail,online,CA,CA,dev_2d66c302,142.112.109.212,0,low,,0,,0,,0,,False
tx_000735,2026-04-25 20:15:06,card_039,8.6,Joe Beef,restaurant,in_person,GB,GB,,,0,low,,0,,0,,0,,False
tx_000604,2026-04-25 20:44:00,card_032,28.46,Joe Beef,restaurant,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000456,2026-04-25 20:54:26,card_024,54.46,IGA,grocery,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000783,2026-04-26 00:12:55,card_042,29.24,Starbucks,restaurant,in_person,US,US,,,0,low,,0,,0,,0,,False
tx_000533,2026-04-26 01:13:16,card_028,102.56,IGA,grocery,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000250,2026-04-26 01:27:49,card_013,18.19,Hydro-Quebec,utilities,online,CA,CA,dev_e5c2222f,142.112.127.88,0,low,,0,,0,,0,,False
tx_000231,2026-04-26 01:41:26,card_012,8.84,Amazon.com,online_retail,online,CA,US,dev_08e633ee,142.112.161.191,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000151,2026-04-26 02:10:03,card_008,31.89,Amazon.com,online_retail,online,CA,US,dev_a088f010,24.114.77.250,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000615,2026-04-26 03:09:13,card_033,62.5,La Banquise,restaurant,in_person,GB,GB,,,0,low,,0,,0,,0,,False
tx_000274,2026-04-26 03:12:08,card_014,39.84,Whole Foods,grocery,in_person,FR,FR,,,0,low,,0,,0,,0,,False
tx_000441,2026-04-26 03:30:40,card_023,46.32,La Banquise,restaurant,in_person,CA,CA,,,10,low,Amount is 4.1x this card's median,0,,0,,0,,False
tx_000896,2026-04-26 04:40:50,card_048,16.42,Joe Beef,restaurant,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000317,2026-04-26 06:53:42,card_017,9.3,Cafe Olimpico,restaurant,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000540,2026-04-26 10:16:59,card_029,21.4,Amazon.com,online_retail,online,CA,US,dev_600be23f,24.114.188.131,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
tx_000156,2026-04-26 10:26:15,card_008,84.46,Schwartz's,restaurant,in_person,CA,CA,,,10,low,Amount is 3.3x this card's median,0,,0,,0,,False
tx_000400,2026-04-26 10:26:35,card_021,47.99,IGA,grocery,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000114,2026-04-26 11:31:03,card_006,85.7,Shell,gas,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000316,2026-04-26 12:12:06,card_017,22.57,Starbucks,restaurant,in_person,CA,CA,,,0,low,,0,,0,,0,,False
tx_000743,2026-04-26 12:28:08,card_040,91.1,Tim Hortons,restaurant,in_person,CA,CA,,,10,low,Amount is 4.5x this card's median,0,,0,,0,,False
tx_000849,2026-04-26 12:40:31,card_045,20.83,QuickPay Online,online_retail,online,FR,CA,dev_ba413b67,90.5.136.131,15,low,Merchant country differs from cardholder country,0,,0,,0,,False
